,Bin #,Score,Bins
0,Bin 1,12.666443114782387,"['R_34', 'R_8']"
1,Bin 2,11.82286035466342,"['R_31', 'R_24']"
2,Bin 3,11.172555764824716,"['R_21', 'P_2']"
3,Bin 4,8.333600425725553,"['R_32', 'P_8', 'P_7']"
4,Bin 5,7.847197864629771,"['R_31', 'R_24', 'P_10']"
5,Bin 6,7.35623665771867,"['P_6', 'R_34', 'R_9', 'P_2']"
6,Bin 7,7.19475584163103,"['R_34', 'P_6']"
7,Bin 8,7.180840836951249,"['R_10', 'R_33', 'P_10']"
8,Bin 9,7.093824564209281,"['R_30', 'R_31', 'P_7']"
9,Bin 10,7.015700879648902,"['R_34', 'R_9']"
10,Bin 11,6.8169266201193635,"['P_5', 'R_34']"
11,Bin 12,6.65733587458368,"['P_3', 'R_31', 'R_25']"
12,Bin 13,6.65733587458368,"['R_31', 'R_25', 'P_3']"
13,Bin 14,6.578377521052435,"['R_31', 'R_35']"
14,Bin 15,6.471898771675618,"['R_21', 'P_5', 'P_2']"
15,Bin 16,6.412332067478127,"['R_34', 'P_5', 'P_1']"
16,Bin 17,6.293191637721158,"['R_9', 'P_2', 'P_5']"
17,Bin 18,5.851921782054757,"['R_5', 'R_9', 'P_2']"
18,Bin 19,5.758060218418493,"['R_40', 'R_34']"
19,Bin 20,5.758060218418493,"['R_34', 'R_40']"
20,Bin 21,5.73831717853038,"['R_4', 'R_34']"
21,Bin 22,5.73831717853038,"['R_34', 'R_4']"
22,Bin 23,5.685176407203392,"['P_8', 'P_7']"
23,Bin 24,5.563996441819672,"['R_31', 'P_3']"
24,Bin 25,5.309311955073959,"['R_34', 'R_17']"
25,Bin 26,5.2973617325167535,"['R_32', 'P_8']"
26,Bin 27,5.260670868771215,"['R_30', 'R_31', 'P_6']"
27,Bin 28,5.2413921710457965,"['R_31', 'R_25']"
28,Bin 29,5.2413921710457965,"['R_25', 'R_31']"
29,Bin 30,5.223151786644968,"['R_34', 'P_2']"
30,Bin 31,5.181798592574308,['R_34']
31,Bin 32,5.1641317329168,"['R_34', 'P_5', 'P_1', 'R_17']"
32,Bin 47,5.158565578441258,"['P_8', 'R_31', 'R_35']"
33,Bin 33,5.157187923219474,"['R_31', 'P_8']"
34,Bin 34,5.157187923219474,"['P_8', 'R_31']"
35,Bin 35,4.999194447590684,"['R_31', 'R_10']"
36,Bin 36,4.999194447590684,"['R_10', 'R_31']"
37,Bin 37,4.9973150641428195,['R_31']
38,Bin 38,4.90206020901469,"['R_10', 'R_33']"
39,Bin 39,4.7210802230537,"['R_25', 'R_33']"
40,Bin 40,4.688774839363066,"['R_9', 'P_2']"
41,Bin 43,2.9527389878655295,['P_2']
42,Bin 48,2.0766490838884155,"['R_33', 'P_9']"
43,Bin 44,1.38840454892447,"['R_31', 'P_6', 'R_9']"
44,Bin 42,1.3567188367145127,['R_9']
45,Bin 49,0.07766077351739824,"['R_22', 'R_25']"
46,Bin 50,0.010714598099145422,"['R_29', 'R_14']"
47,Bin 41,0.0,"['R_9', 'P_3', 'R_34', 'R_21']"
48,Bin 45,0.0,"['R_30', 'R_34', 'R_14', 'R_36']"
49,Bin 46,0.0,"['R_31', 'R_24', 'R_8', 'R_29', 'P_1']"
