,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,560.4366634910721,"['P_7', 'P_4', 'P_10', 'P_5']",0,0.641,0.7874
1,Bin 2,555.8421030341277,"['P_1', 'P_10', 'P_4', 'P_5']",0,0.6392,0.7912
2,Bin 3,555.7492347243233,"['P_6', 'P_1', 'P_4', 'P_5']",0,0.6436,0.7914
3,Bin 4,555.4916167203226,"['P_7', 'P_4', 'P_5', 'P_1']",0,0.6422,0.7888
4,Bin 5,544.8561726405939,"['P_1', 'P_7', 'P_4', 'P_10', 'P_5']",0,0.6992,0.7788
5,Bin 6,544.4129261500698,"['P_1', 'P_5', 'P_4', 'P_3']",0,0.641,0.791
6,Bin 7,543.690067422561,"['P_6', 'P_5', 'P_4', 'P_10']",0,0.6405,0.7869
7,Bin 8,541.6126808200521,"['P_1', 'P_4', 'P_5', 'P_2']",0,0.6433,0.7907
8,Bin 9,540.9212227799562,"['P_4', 'P_1', 'P_5']",0,0.559,0.785
9,Bin 10,540.6941957306954,"['P_4', 'P_5', 'P_1', 'P_9']",0,0.6446,0.7904
10,Bin 11,539.5624951849505,"['P_4', 'P_1', 'P_2', 'P_9']",0,0.6477,0.7897
11,Bin 12,539.3315264243975,"['P_4', 'P_5', 'P_3', 'P_2']",0,0.6405,0.7899
12,Bin 13,539.0436087976254,"['P_1', 'P_10', 'P_7', 'P_4']",0,0.6438,0.7894
13,Bin 14,536.5277216084095,"['P_5', 'P_6', 'P_4', 'P_9']",0,0.642,0.788
14,Bin 15,535.6967894179686,"['P_3', 'P_4', 'P_8', 'P_1']",0,0.6495,0.7885
15,Bin 16,534.6098264977288,"['P_1', 'P_10', 'P_7', 'P_5']",0,0.6376,0.7884
16,Bin 17,534.3425820217434,"['P_4', 'P_8', 'P_1', 'P_5']",0,0.648,0.7866
17,Bin 18,531.1945525852361,"['P_4', 'P_5', 'P_2', 'P_9']",0,0.6422,0.7874
18,Bin 19,531.1280271298524,"['P_6', 'P_5', 'P_4']",0,0.5567,0.7801
19,Bin 20,531.013781961578,"['P_5', 'P_3', 'P_7', 'P_4']",0,0.6409,0.7865
20,Bin 21,530.857645114226,"['P_1', 'P_5', 'P_3', 'P_7']",0,0.6352,0.7848
21,Bin 22,530.2826220893521,"['P_2', 'P_4', 'P_1', 'P_3']",0,0.6415,0.7877
22,Bin 23,529.1945655253157,"['P_4', 'P_2', 'P_10', 'P_5']",0,0.6391,0.7877
23,Bin 24,528.6453017237546,"['P_6', 'P_5', 'P_4', 'P_2']",0,0.6415,0.7867
24,Bin 25,528.5147143365932,"['P_4', 'P_3', 'P_10', 'P_2']",0,0.6399,0.7853
25,Bin 26,528.2146311456872,"['P_4', 'P_8', 'P_2', 'P_1']",0,0.6473,0.7839
26,Bin 27,526.3313583658243,"['P_4', 'P_2', 'P_1']",0,0.5597,0.7811
27,Bin 28,526.2482335721154,"['P_1', 'P_7', 'P_4', 'P_5', 'P_3']",0,0.6987,0.7759
28,Bin 29,525.6079034387552,"['P_4', 'P_5', 'P_2']",0,0.5565,0.7801
29,Bin 30,524.849807253151,"['P_10', 'P_5', 'P_8', 'P_4']",0,0.6441,0.7831
30,Bin 31,523.5223131590839,"['P_3', 'P_8', 'P_1', 'P_7']",0,0.642,0.784
31,Bin 32,523.5100840461636,"['P_2', 'P_1', 'P_9', 'P_5']",0,0.6419,0.7893
32,Bin 33,523.4107869491556,"['P_1', 'P_10', 'P_3', 'P_2']",0,0.6386,0.7932
33,Bin 34,523.0005701305879,"['P_7', 'P_1', 'P_3', 'P_4']",0,0.6421,0.7843
34,Bin 35,522.76193296966,"['P_5', 'P_10', 'P_4', 'P_3']",0,0.6361,0.7851
35,Bin 36,521.7992238516796,"['P_4', 'P_3', 'P_8', 'P_5', 'P_1']",0,0.705,0.7762
36,Bin 37,520.7680662966621,"['P_4', 'P_5', 'P_8', 'P_2']",0,0.6465,0.7843
37,Bin 38,519.8877797375022,"['P_10', 'P_7', 'P_5', 'P_2']",0,0.638,0.7846
38,Bin 39,519.6632696280267,"['P_6', 'P_4', 'P_5', 'P_8']",0,0.6483,0.7857
39,Bin 40,519.5911135728753,"['P_4', 'P_3', 'P_2', 'P_9']",0,0.6432,0.7866
40,Bin 47,434.02103692859896,"['P_4', 'P_5']",0,0.4305,0.7395
41,Bin 44,383.56864586392,"['P_1', 'P_3']",0,0.4255,0.7399
42,Bin 41,276.2713243278966,['P_4'],0,0.2578,0.6548
43,Bin 46,186.15847544642358,['P_8'],0,0.2546,0.6476
44,Bin 42,185.09416701822659,"['P_5', 'R_17', 'P_6', 'P_2']",0,0.7528,0.6544
45,Bin 43,0.0,"['R_21', 'P_5', 'P_10', 'R_66', 'P_8']",0,0.8655,0.5813
46,Bin 45,0.0,"['R_90', 'P_5', 'R_3', 'P_1', 'P_10']",0,0.8569,0.5825
47,Bin 48,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9106,0.505
48,Bin 49,0.0,"['R_84', 'R_69', 'R_79', 'R_52']",0,0.9051,0.4983
49,Bin 50,0.0,"['R_52', 'R_29', 'R_45', 'R_63']",0,0.9111,0.5013
